lot_id,date,hour,day_of_week,is_weekend,is_festival,weather_condition,avg_price,bookings_count,total_slots,occupancy_pct
P115,2025-10-01,12,Wednesday,False,False,clear,19.4,1,77,1.3
P115,2025-10-01,15,Wednesday,False,False,rain,22.98,1,77,1.3
P115,2025-10-02,7,Thursday,False,False,cloudy,20.62,1,77,1.3
P115,2025-10-02,19,Thursday,False,False,cloudy,23.32,1,77,1.3
P115,2025-10-03,11,Friday,False,False,rain,23.09,1,77,1.3
P115,2025-10-04,19,Saturday,True,False,clear,27.57,1,77,1.3
P115,2025-10-05,7,Sunday,True,False,rain,26.34,1,77,1.3
P115,2025-10-05,14,Sunday,True,False,clear,23.78,1,77,1.3
P115,2025-10-05,21,Sunday,True,False,rain,26.19,1,77,1.3
P115,2025-10-06,8,Monday,False,False,clear,23.5,1,77,1.3
P115,2025-10-06,15,Monday,False,False,clear,19.92,1,77,1.3
P115,2025-10-07,21,Tuesday,False,False,clear,20.43,1,77,1.3
P115,2025-10-08,8,Wednesday,False,False,fog,25.38,1,77,1.3
P115,2025-10-10,8,Friday,False,False,fog,24.26,1,77,1.3
P115,2025-10-11,13,Saturday,True,False,clear,23.65,1,77,1.3
P115,2025-10-11,20,Saturday,True,False,haze,28.68,1,77,1.3
P115,2025-10-13,8,Monday,False,False,clear,25.15,1,77,1.3
P115,2025-10-13,12,Monday,False,False,cloudy,19.88,1,77,1.3
P115,2025-10-15,15,Wednesday,False,False,cloudy,20.48,1,77,1.3
P115,2025-10-16,9,Thursday,False,False,rain,26.95,1,77,1.3
P115,2025-10-16,10,Thursday,False,False,cloudy,20.61,1,77,1.3
P115,2025-10-16,14,Thursday,False,False,clear,21.18,1,77,1.3
P115,2025-10-16,18,Thursday,False,False,cloudy,25.34,1,77,1.3
P115,2025-10-16,22,Thursday,False,False,clear,21.17,1,77,1.3
P115,2025-10-17,3,Friday,False,False,clear,21.31,1,77,1.3
P115,2025-10-19,5,Sunday,True,False,clear,22.43,1,77,1.3
P115,2025-10-21,9,Tuesday,False,True,cloudy,31.88,1,77,1.3
P115,2025-10-21,18,Tuesday,False,True,cloudy,32.78,2,77,2.6
P115,2025-10-24,8,Friday,False,False,clear,24.01,1,77,1.3
P115,2025-10-24,18,Friday,False,False,cloudy,25.29,1,77,1.3
P115,2025-10-25,0,Saturday,True,False,rain,24.12,1,77,1.3
P115,2025-10-25,7,Saturday,True,False,rain,24.61,1,77,1.3
P115,2025-10-25,21,Saturday,True,False,cloudy,23.11,1,77,1.3
P115,2025-10-27,15,Monday,False,False,rain,21.58,1,77,1.3
P115,2025-10-28,19,Tuesday,False,False,fog,23.5,1,77,1.3
P115,2025-10-28,22,Tuesday,False,False,clear,19.32,1,77,1.3
P115,2025-10-29,9,Wednesday,False,False,cloudy,25.12,1,77,1.3
P115,2025-10-29,11,Wednesday,False,False,clear,19.52,1,77,1.3
P115,2025-10-30,3,Thursday,False,False,clear,19.54,1,77,1.3
P115,2025-11-01,18,Saturday,True,True,clear,35.32,1,77,1.3
P115,2025-11-06,10,Thursday,False,False,fog,19.42,1,77,1.3
P115,2025-11-10,6,Monday,False,False,clear,20.92,2,77,2.6
P115,2025-11-10,7,Monday,False,False,fog,20.56,1,77,1.3
P115,2025-11-10,10,Monday,False,False,cloudy,20.11,1,77,1.3
P115,2025-11-10,15,Monday,False,False,clear,20.12,1,77,1.3
P115,2025-11-11,7,Tuesday,False,False,fog,21.11,1,77,1.3
P115,2025-11-11,8,Tuesday,False,False,clear,24.43,1,77,1.3
P115,2025-11-12,16,Wednesday,False,False,haze,20.64,1,77,1.3
P115,2025-11-12,18,Wednesday,False,False,clear,25.28,1,77,1.3
P115,2025-11-13,6,Thursday,False,False,clear,19.89,1,77,1.3
P115,2025-11-13,7,Thursday,False,False,rain,21.5,2,77,2.6
P115,2025-11-13,11,Thursday,False,False,clear,20.86,1,77,1.3
P115,2025-11-14,8,Friday,False,False,clear,23.23,1,77,1.3
P115,2025-11-15,17,Saturday,True,False,rain,26.28,1,77,1.3
P115,2025-11-16,7,Sunday,True,False,clear,23.6,2,77,2.6
P115,2025-11-16,9,Sunday,True,False,clear,27.46,1,77,1.3
P115,2025-11-16,13,Sunday,True,False,clear,24.32,1,77,1.3
P115,2025-11-17,19,Monday,False,False,clear,24.98,1,77,1.3
P115,2025-11-20,5,Thursday,False,False,clear,20.7,1,77,1.3
P115,2025-11-21,7,Friday,False,False,cloudy,19.53,1,77,1.3
P115,2025-11-21,13,Friday,False,False,clear,21.18,1,77,1.3
P115,2025-11-23,6,Sunday,True,False,clear,22.27,1,77,1.3
P115,2025-11-25,19,Tuesday,False,False,fog,25.58,1,77,1.3
P115,2025-11-25,23,Tuesday,False,False,clear,20.43,1,77,1.3
P115,2025-11-28,17,Friday,False,False,cloudy,20.07,1,77,1.3
P115,2025-12-01,2,Monday,False,False,rain,22.46,1,77,1.3
P115,2025-12-01,4,Monday,False,False,fog,21.32,1,77,1.3
P115,2025-12-01,11,Monday,False,False,clear,20.12,1,77,1.3
P115,2025-12-02,13,Tuesday,False,False,fog,20.86,1,77,1.3
P115,2025-12-04,8,Thursday,False,False,rain,26.02,1,77,1.3
P115,2025-12-04,18,Thursday,False,False,clear,25.04,1,77,1.3
P115,2025-12-05,1,Friday,False,False,cloudy,19.82,1,77,1.3
P115,2025-12-07,18,Sunday,True,False,cloudy,28.54,1,77,1.3
P115,2025-12-08,21,Monday,False,False,cloudy,19.79,1,77,1.3
P115,2025-12-09,14,Tuesday,False,False,fog,20.76,1,77,1.3
P115,2025-12-09,19,Tuesday,False,False,clear,24.78,1,77,1.3
P115,2025-12-10,11,Wednesday,False,False,clear,20.71,1,77,1.3
P115,2025-12-10,17,Wednesday,False,False,clear,20.62,1,77,1.3
P115,2025-12-11,12,Thursday,False,False,cloudy,20.47,1,77,1.3
P115,2025-12-12,18,Friday,False,False,haze,24.44,1,77,1.3
P115,2025-12-12,20,Friday,False,False,rain,25.38,2,77,2.6
P115,2025-12-13,2,Saturday,True,False,clear,23.89,1,77,1.3
P115,2025-12-13,23,Saturday,True,False,clear,24.31,1,77,1.3
P115,2025-12-16,14,Tuesday,False,False,rain,23.26,1,77,1.3
P115,2025-12-16,18,Tuesday,False,False,clear,24.52,1,77,1.3
P115,2025-12-17,11,Wednesday,False,False,clear,19.32,1,77,1.3
