id,user_id,slot_id,lot_id,start_time,end_time,day_of_week,is_weekend,is_festival,weather_condition,price_at_booking,status
dc204a46-7cc4-4cc4-90e9-846d11d738b7,a128c8e3-79bd-470a-9dd9-29e6ea7a5d25,dc642560-bd96-4fa7-842a-131ddea54f97,d7cfdefe-2859-458d-8bc5-ab840a62418e,2025-11-20T22:58:00,2025-11-20T23:58:00,Thursday,False,False,clear,41.1,completed
4e33832a-dc36-41d1-9734-c15f3e4fa41a,9443a787-02d1-4c19-9ef9-d2058a7453b6,a6e44faf-b985-46ba-b965-52140a4537c0,eeb4d423-17f5-4d6c-a6e7-ad79313471a9,2026-01-25T10:44:00,2026-01-25T11:44:00,Sunday,True,False,clear,55.1,completed
05ee3805-2616-46cd-892b-6c3e84cf90f2,c93534d5-7e36-4c89-bd78-a77559e5e18b,f7e49045-96ac-42cd-bed9-78e17fae4010,bc464c1d-5590-438c-acc7-efab360d5bc8,2025-11-30T13:46:00,2025-11-30T19:46:00,Sunday,True,False,rain,42.9,completed
048f5e1f-505a-409a-bf94-a291bc82a031,5246af6a-9378-4809-8ae6-8f17233cf673,caa3c3fb-22e5-4ae8-8288-6543319fd518,aa8039b3-3308-4616-8ab0-12c28e7246e4,2025-11-09T12:58:00,2025-11-09T15:58:00,Sunday,True,False,cloudy,18.39,completed
3b319207-c195-491d-b46e-5fdf19c5161f,48b1a8a1-020b-4017-82c5-2d4b5a6fea52,680c102e-bf26-4d50-9612-ea257443342d,66e019e7-5c23-4c7a-8358-1da734b434fe,2025-10-27T19:33:00,2025-10-27T23:33:00,Monday,False,False,clear,57.88,completed
b2606ee1-695e-4864-9c34-7144868dc784,b3c2dba9-c725-4fad-81d3-65ef3b760db5,33c0c5f6-62ae-407e-af70-3653df714a10,08a20e54-8f66-49fb-89d7-59c930d42d9a,2025-10-29T11:02:00,2025-10-29T11:32:00,Wednesday,False,False,clear,19.52,completed
c7573ba9-8958-4017-9701-358021f0090a,46bdc850-3cf5-4361-9686-fdb85d5d8484,84c441ed-d17a-4d48-ace4-c265654b4b12,d2a8af93-39d7-4599-8a35-7cf21819f4b2,2026-01-20T18:40:00,2026-01-20T21:40:00,Tuesday,False,False,clear,27.18,completed
7253ce20-72d4-4a51-939f-11dcb7db1e48,cfdfd189-e956-4412-8514-e046100dbe9a,7d9f48da-1480-408b-8d77-d0393e8156a6,dccfe102-88f6-4a07-a791-76d919900546,2025-12-28T19:44:00,2025-12-28T20:14:00,Sunday,True,False,haze,23.16,completed
6f79a0a3-88c7-4fa3-b74c-c3ef8a3fe261,d09677f7-88f4-40fe-aeb1-0eafeae247d7,175af95f-6693-4391-a04d-a73639d622e9,42591084-2367-45ae-98c3-6da0eb1bf09c,2025-10-13T19:37:00,2025-10-13T20:07:00,Monday,False,False,clear,28.84,completed
29d02654-70f4-4af8-82ff-13d559cd95cf,afb54ff1-68e3-4cfd-8572-7151fb0a53e5,a838e697-3575-4a29-b828-16a6b9367573,42591084-2367-45ae-98c3-6da0eb1bf09c,2025-11-01T02:40:00,2025-11-01T04:10:00,Saturday,True,True,cloudy,38.67,completed
